,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition,Start_Month_Name,Start_Year_Period,Enrolled_Participants
4812,JNJ,"A Phase IIa Multicenter, Randomized, Double-blind, Double-dummy, and Placebo- and Active Controlled Study to Investigate the Safety and Efficacy of JNJ-18038683 Administered to Subjects With Major Depressive Disorder",The purpose of this study is to evaluate the safety and effectiveness of JNJ-18038683 compared to escitalopram and placebo in patients with moderate to severe depression.,2007,12,Phase 2,67,Completed,"Depressive Disorder, Major",December,2006-2010,50-99
4813,Bayer,"Randomized, Double-blind, Placebo-controlled, Group-comparison, Dose-escalation Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Co-administration of Different Doses of Vardenafil (2 Dose Strengths) and BAY60-4552 (4 Dose Strengths) Given Once-daily (od) Over 14 Days in Patients With Erectile Dysfunction (ED).","Safety, tolerability, pharmacokinetics and pharmacodynamics will be investigated in this multiple dose escalation study. In three treatments groups different dosages of BAY 60-4552 and vardenafil will be given with patients with erectile dysfunction.",2010,1,Phase 1,37,Completed,Erectile Dysfunction,January,2006-2010,<50
4814,GSK,"An Open-label, International, Multi-center, Phase II, Extension Trial Investigating Long-term Efficacy and Safety of Repeated Treatment Courses of Ofatumumab, a Fully Human Monoclonal Anti-CD20 Antibody, in Adult Patients With Active Rheumatoid Arthritis Who Previously Received Ofatumumab or Placebo",A 3-year open-label trial for patients who previously participated in Trial Hx-CD20-403 and who fulfill the eligibility criteria for this trial (GEN413) . Th e primary purpose of the trial is to evaluate the long-term effectiveness of repeated courses ( a maximum of 9 treatment courses) of ofatumumab in RA patients who previously received ofatumumab or placebo in Trial Hx-CD20-403.,2008,1,Phase 2,124,Terminated,"Arthritis, Rheumatoid",January,2006-2010,100-499
4815,Novartis,"An Open-label, Prospective, Non-randomized, Multicenter Study to Evaluate Clear Skin Effect on Health Related Quality of Life Outcomes at 16 and 52 Weeks in Patients With Moderate to Severe Plaque Psoriasis Treated With Secukinumab 300 mg s.c. With or Without Previous Exposure to Systemic Therapy.",Study of effects of secukinumab 300 mg s.c. on quality of life (QoL) in psoriasis patients with or without prior exposure to systemic therapy.,2016,3,Phase 4,1661,Completed,Psoriasis,March,2016-2020,1K-5K
4816,Novartis,"A Multi-centre, Randomized, Double-blind, Placebo-controlled, Parallel-group, Multiple Oral Dose Study to Assess the Efficacy and Tolerability of AFQ056 in Reducing L-dopa Induced Dyskinesias in Parkinson's Patients With Severe L-dopa Induced Dyskinesias","This study will evaluate the safety and efficacy of administration of AFQ056 in combination with L-dopa, in reducing the number of L-dopa related dyskinesias in Parkinson's disease patients.",2009,3,Phase 2,28,Completed,Parkinson Disease,March,2006-2010,<50
4817,Novartis,A Multicenter Trial to Evaluate the Safety and Efficacy of the Combination of Valsartan/Amlodipine 160/10 mg Versus Amlodipine 10 mg Alone for 8 Weeks in Hypertensive Patients Who Are Not Adequately Controlled on Amlodipine 10 mg Monotherapy,This study will test the effectiveness and safety of a combination treatment in patients whose blood pressure is not controlled with a single medication,2004,11,Phase 3,936,Completed,Hypertension,November,2001-2005,500-999
4818,Novartis,"An Open-label, Randomized, Parallel Group Study Comparing the Efficacy and Safety of Amlodipine in Combination With Valsartan Compared to Losartan in Combination With Hydrochlorothiazide Given for 52 Weeks on the Regression of Left Ventricular Hypertrophy in Patients With Mild to Moderate Hypertension",This study will evaluate the safety and efficacy of amlodipine plus valsartan in patients with hypertension and left ventricular hypertrophy,2007,3,Phase 3,90,Completed,"Hypertrophy, Left Ventricular",March,2006-2010,50-99
4819,GSK,"Assess the Immunogenicity, Safety, Reactogenicity of 1 Dose of 4 Different Formulations of GSK Biologicals' Meningococcal Conjugate Vaccine (MenACWY) vs 1 Dose of Mencevax™ ACWY in Healthy Subjects Aged 15-19 Yrs","The purpose of this study is to evaluate the immunogenicity, safety and reactogenicity of one dose of four different formulations of the MenACWY conjugate vaccine when given to healthy subjects aged 15-19 years. The selection of the best formulation will be based on data obtained up to one month after the vaccine dose.",2005,3,Phase 2,125,Completed,Meningococcal Infections,March,2001-2005,100-499
4820,Gilead,"A Phase 1 Multicenter Study of KITE-585, an Autologous Anti-BCMA CAR T-Cell Therapy, in Subjects With Relapsed/Refractory Multiple Myeloma","To evaluate the safety and tolerability of KITE-585, an autologous engineered CAR T-cell product targeting a protein commonly found on myeloma cells called BCMA. Patients will be given a 3 day course of chemotherapy followed by a single infusion of KITE-585.",2017,10,Phase 1,64,Recruiting,Multiple Myeloma,October,2016-2020,50-99
4821,Novartis,Extension Study of Iron Chelation Therapy With Deferasirox in Patients With Transfusional Iron Overload,A 1-year randomized Phase IIa core trial followed by a prolongation of 5 to 9 months was conducted to investigate the efficacy and safety of deferasirox in patients aged ≥ 18 years with transfusion-dependent iron overload. The objective of this extension study is to assess the long-term safety of deferasirox and to provide treatment in patients with transfusional iron overload.,2002,7,Phase 2,66,Completed,Iron Overload,July,2001-2005,50-99
4822,Gilead,"A Randomized, Double-blind, Placebo-controlled Phase 2 Study to Evaluate the Testicular Safety of Filgotinib in Adult Males With Moderately to Severely Active Ulcerative Colitis",The primary objective of this study is to evaluate the testicular safety of filgotinib in adult males with moderately to severely active ulcerative colitis.,2017,7,Phase 2,250,Recruiting,"Colitis, Ulcerative",July,2016-2020,100-499
4824,Pfizer,"A Six-Week, Double-Blind, Multicenter, Placebo-Controlled Study Evaluating the Efficacy and Safety of Flexible Doses of Oral Ziprasidone in Outpatients With Bipolar I Depression","This is a 6-week trial that evaluates the efficacy and safety of Geodon (ziprasidone) in outpatient subjects ages 18 and older with Bipolar Disorder type I, depressed. Subjects are required to undergo a washout period of at least 7 days of any prior med.",2006,2,Phase 3,392,Completed,Bipolar Disorder,February,2006-2010,100-499
4825,GSK,"An Open-label Study in Healthy Male Subjects, to Determine the Excretion Balance and Pharmacokinetics of [14C]-GSK2269557, Administered as a Single Intravenous Microtracer (Concomitant With an Inhaled Non-radiolabelled Dose) and a Single Oral Dose","GSK2269557 is being developed as an anti-inflammatory agent for the treatment of chronic obstructive pulmonary disease (COPD) and other inflammatory lung diseases such as asthma. This study is designed to investigate the recovery, excretion, and pharmacokinetics (PK) of (14 Carbon [C])-GSK2269557 administered as a single intravenous (IV) dose (concomitant with an inhaled non-radiolabelled dose) and as a single oral dose in 6 healthy male subjects. Subjects will receive [14C] radiolabelled GSK2269557 administered as IV infusion, with a nonradiolabelled dose of GSK2269557 via dry powder inhaler (DPI) in treatment period 1 and a single dose of [14C]-GSK2269557, administered as an oral solution in treatment period 2. There will be a washout period of at least 14 days after inhaled and IV dosing before subjects takes part in treatment period 2. The IV microtracer dose of GSK2269557 will be administered concomitant to an inhaled non-radiolabelled dose to ensure that the pharmacokinetics represent a clinically relevant dose. The total study duration will be up to 11 weeks, including a screening visit, 2 treatment periods and a follow-up visit.",2017,11,Phase 1,6,Completed,"Pulmonary Disease, Chronic Obstructive",November,2016-2020,<50
4826,Novartis,Study of Safety and Efficacy of Letrozole Monotherapy as Second-line Endocrine Therapy in Postmenopausal Patients With Advanced Breast Cancer Who Received Previous Anti-estrogen Treatment,- Safety and efficacy of letrozole 2.5 mg/day monotherapy as second-line endocrine therapy in postmenopausal patients with advanced breast cancer who received previous anti-estrogen treatment - To investigate changes in blood drug concentrations and blood,2004,3,Phase 2,47,Completed,Breast Neoplasms,March,2001-2005,<50
4827,GSK,"A Double-blind (Sponsor Unblinded) Study to Investigate Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Clinical Effect of Repeat Dosing of GSK2646264 in Cutaneous Lupus Erythematosus Patients","This study is designed to examine safety, tolerability, pharmacokinetics, pharmacodynamics and clinical effect of repeat dosing of GSK2646264 in patients with subacute and chronic cutaneous lupus erythematosus (CLE) lesions and in acute CLE like lesions induced by photoprovocation (PV). Current study is two group study. In Group A, Patients with fewer than two active lesions will be enrolled and exposed to photoprovocation (PV) for 3 consecutive days. Patients that develop PV lesions at any time during this period, as determined by the local investigative team, will receive 1% strength GSK2646264 on 1 lesion and placebo on 1 lesion daily and either 1% strength GSK2646264 or placebo on an area of uninvolved skin, for skin pharmacokinetic (PK) of study drug, for 28 days. In Group B, Patients that have a minimum of 2 active existing CLE lesions as determined by the investigators will be enrolled into group B and have one lesion treated with 1% GSK2646264 and 1 lesion with placebo. A completed patient will be defined as a subject who receives at least 25 days of study drug and completes the end of treatment biopsy (at day 28) and assessment. Thereafter patients will be followed for 28 days in Group A only or until complete resolution of induced PV lesions, as determined by the investigator.",2017,1,Phase 1,11,Completed,"Lupus Erythematosus, Cutaneous",January,2016-2020,<50
4828,Novartis,"A 6-month, Randomized, Active Comparator, Open-label, Multi-Center Study to Evaluate Patient OutComes, Safety and Tolerability of Fingolimod (FTY720) 0.5 mg/Day in Patients With Relapsing Forms of Multiple Sclerosis Who Are Candidates for MS Therapy Change From Previous Disease Modifying Therapy (EPOC)","The purpose of this study is to evaluate the change in patient-reported outcomes, physician assessment of a change as well as safety and tolerability in patients with Relapsing Forms of Multiple Sclerosis on previous Disease Modifying Therapy (DMT) who are randomized to one of two treatment arms: fingolimod vs. standard of care DMT.",2010,8,Phase 4,1053,Completed,Sclerosis,August,2006-2010,1K-5K
4829,GSK,"An Open-label Balanced, Randomised, Single Dose, Two-way Crossover Study to Determine the Bioequivalence of GW483100 10 mg Tablets (Containing Montelukast Sodium Equivalent to 10 mg of Montelukast) Relative to Reference Montelukast Sodium 10 mg Tablets (Containing Montelukast Sodium Equivalent to 10 mg of Montelukast) in Healthy Male and Female Volunteers Under Fasting Conditions","This study is conducted to determine whether the test product (GW483100 10 mg containing montelukast sodium equivalent to 10 mg of montelukast) is bioequivalent to the reference montelukast sodium 10 mg tablets (innovator product) in healthy adult volunteers under fasting conditions. This is an open-label, balanced, randomized, single dose, two-way crossover study, enrolling 32 healthy human subjects to ensure at least 28 subjects complete the study. Each subject enrolled will participate in two treatment periods separated by a washout period of at least 7 days and no more than 14 days between dosing occasions. Total duration in the study for each subject will be approximately 7 weeks from screening to the subject's last visit.",2015,8,Phase 1,32,Completed,Respiration Disorders,August,2011-2015,<50
